rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEUNIT;ISSUESIZE;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;IS_QUALIFIED_INVESTORS;COUPONFREQUENCY;COUPONPERCENT;COUPONVALUE;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
AMUNIBB2AER2;UBANK11/22;UNIBANK OJSC Series 1;Корпоративные еврооблигации;AMUNIBB2AER2;;3;USD;10000;1;TQOD;Т+: Облигации (USD) - безадрес.;15.11.2022;;0;4;;;;15.11.2019;100,0;;2020-08-04;;;;;;;;;;;;100,0;;;;;;;
AMUNIBB2DER6;UBANK02/24;UNIBANK OJSC Series 1 21;Корпоративные еврооблигации;AMUNIBB2DER6;;3;USD;33478;1;TQOD;Т+: Облигации (USD) - безадрес.;05.02.2024;;0;4;5,300;1,325;92;05.02.2021;100,0;;2021-07-14;"""UNIBANK"" OPENED JOINT STOCK COMPANY";0000004902;1;101,12;9628,93;0,0;19257,86;0,0;19257,86;0,0;19257,86;100,0;;;;;100,00000;100,00000;1
AT0000A2UF10;Raiff BIAG;Raiffeisen Bank Int AG;Корпоративные еврооблигации;AT0000A2UF10;;3;USD;50000;1;TQUD;Т+: Облигации Д (USD) - безадрес.;21.01.2025;;1;4;5,000;12,47;91;21.12.2021;1000,0;Структурные облигации;2021-12-22;Raiffeisen Centrobank AG;0000005403;1;83,56;78595,53;0,0;157191,06;0,0;157191,06;0,0;157191,06;100,0;;;;;100,00000;100,00000;1
CH0141533403;VTB-15 CHF;VTB CAPITAL S.A. 15 CHF;;CH0141533403;;;CHF;60000;;RPMO;РЕПО-М - адрес.;17.11.2015;;0;1;;;;17.11.2014;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0205819433;RZD-18 CHF;RZD Capital PLC 18 CHF;Еврооблигации МинФина;CH0205819433;;;CHF;105000;1;RPMO;РЕПО-М - адрес.;26.02.2018;;0;1;;;;26.02.2015;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0205819441;RZD-21 CHF;RZD Capital PLC 21 CHF;Корпоративные еврооблигации;CH0205819441;;;CHF;30000;1;RPMO;РЕПО-М - адрес.;26.02.2021;;1;1;;;;26.02.2015;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0229318099;GPB-24 CHF;GPB Eurobond Finance PLC 5.125;Корпоративные еврооблигации;CH0229318099;;;CHF;5000;1;RPMO;РЕПО-М - адрес.;13.05.2024;;1;1;5,125;;366;13.02.2014;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0248531110;VTB-24 CHF;VTB CAPITAL S.A. 24 CHF;Корпоративные еврооблигации;CH0248531110;;;CHF;70000;1;RPMO;РЕПО-М - адрес.;24.10.2024;;1;1;4,073;203,625;366;24.07.2014;5000,0;;;VTB Capital S.A;0000097053;1;98,32;509865,65;0,0;1019731,3;0,0;1019731,3;0,0;1019731,3;100,0;;;;;100,00000;100,00000;1
CH0317921671;GAZ-18 CHF;GAZ CAPITAL SA 3.375 30/11/18;Еврооблигации МинФина;CH0317921671;;;CHF;100000;1;RPMO;РЕПО-М - адрес.;30.11.2018;;1;1;;;;30.03.2016;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0346828400;GAZ-21 CHF;GAZ CAPITAL SA 2.75 30/11/21;Корпоративные еврооблигации;CH0346828400;;;CHF;100000;1;RPMO;РЕПО-М - адрес.;30.11.2021;;1;1;;;;30.11.2016;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0374882816;GAZ-22 CHF;GAZ CAPITAL SA 2.25 19/07/22;Корпоративные еврооблигации;CH0374882816;;;CHF;100000;1;RPMO;РЕПО-М - адрес.;19.07.2022;;1;1;;;;19.07.2017;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0379268748;RZD-23 CHF;RZD Capital PLC 23 CHF;Корпоративные еврооблигации;CH0379268748;;;CHF;90000;1;RPMO;РЕПО-М - адрес.;02.10.2023;;1;1;;;;02.10.2017;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0385518086;ALFA-22 CH;Alfa Holding Issuance 09/11/22;Корпоративные еврооблигации;CH0385518086;;;CHF;33000;1;RPMO;РЕПО-М - адрес.;09.11.2022;;1;1;;;;09.11.2017;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0404311711;GAZ-23 CHF;GAZ CAPITAL SA 1.45 6/3/23 CHF;Корпоративные еврооблигации;CH0404311711;;;CHF;150000;1;RPMO;РЕПО-М - адрес.;06.03.2023;;1;1;;;;06.03.2018;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
CH0419041618;RZD-25 CHF;RZD CAPITAL PLC 0.898 03/10/25;Корпоративные еврооблигации;CH0419041618;;;CHF;70000;1;RPMO;РЕПО-М - адрес.;03.10.2025;;1;1;0,898;44,9;366;03.10.2019;5000,0;;;RZD Capital plc;0000003850;1;99,48;515874,28;0,0;1031748,56;0,0;1031748,56;0,0;1031748,56;100,0;;;;;100,00000;100,00000;1
CH0419041634;RZD-28 CHF;RZD CAPITAL PLC 03/04/28;Корпоративные еврооблигации;CH0419041634;;;CHF;30000;1;RPMO;РЕПО-М - адрес.;03.04.2028;;1;1;1,195;59,75;366;03.10.2019;5000,0;;;RZD Capital plc;0000003850;1;97,98;511312,78;0,0;1022625,56;0,0;1022625,56;0,0;1022625,56;100,0;;;;;100,00000;100,00000;1
CH1100259816;RZD-p CHF;RZD Capital PLC VAR UNDT;Корпоративные еврооблигации;CH1100259816;;;CHF;50000;1;RPMO;РЕПО-М - адрес.;;;1;1;3,125;156,25;366;23.03.2021;5000,0;;;RZD Capital plc;0000003850;1;98,88;518128,95;0,0;1036257,9;0,0;1036257,9;0,0;1036257,9;100,0;;;;;100,00000;100,00000;1
CH1120085688;GAZ-27 CHF;Gaz Finance Plc 1.54 30/06/27;Корпоративные еврооблигации;CH1120085688;;3;CHF;100000;1;TQCB;Т+: Облигации - безадрес.;30.06.2027;;1;1;1,540;77,0;366;30.06.2021;5000,0;;;;;;;;;;;;;;100,0;;;;;;;
DE000A19YDA9;CRS-23 EUR;CORESTATE Capital 15/04/23;Корпоративные еврооблигации;DE000A19YDA9;;;EUR;3000;1;RPMO;РЕПО-М - адрес.;15.04.2023;;1;2;;;;29.03.2018;100000,0;;;;;;;;;;;;;;100,0;;;;;;;
KZW100011193;KAZ 05/06;NBRK 05/06/20;Корпоративные еврооблигации;KZW100011193;;;KZT;835968600;1;RPMO;РЕПО-М - адрес.;05.06.2020;;1;;;;;07.06.2019;100,0;;;;;;;;;;;;;;100,0;;;;;;;
KZW100011235;KAZ 19/06;NBRK 19/06/20;Корпоративные еврооблигации;KZW100011235;;;KZT;1468789494;1;RPMO;РЕПО-М - адрес.;19.06.2020;;1;;;;;21.06.2019;100,0;;;;;;;;;;;;;;100,0;;;;;;;
KZW100011284;KAZ 10/07;NBRK 10/07/20;Корпоративные еврооблигации;KZW100011284;;;KZT;3781000000;1;RPMO;РЕПО-М - адрес.;10.07.2020;;0;;;;;12.07.2019;100,0;;;;;;;;;;;;;;100,0;;;;;;;
KZW100011730;KAZ 26/06;NBRK 26/06/20;Корпоративные еврооблигации;KZW100011730;;;KZT;1236897110;1;RPMO;РЕПО-М - адрес.;26.06.2020;;1;;;;;27.12.2019;100,0;;;;;;;;;;;;;;100,0;;;;;;;
KZW100011797;KAZ 24/07;NBRK 24/07/20;Корпоративные еврооблигации;KZW100011797;;;KZT;3352503934;1;RPMO;РЕПО-М - адрес.;24.07.2020;;0;;;;;24.01.2020;100,0;;;;;;;;;;;;;;100,0;;;;;;;
KZW100011912;KAZ 12/06;NBRK 12/06/20;Корпоративные еврооблигации;KZW100011912;;;KZT;835912798;1;RPMO;РЕПО-М - адрес.;12.06.2020;;1;;;;;13.03.2020;100,0;;;;;;;;;;;;;;100,0;;;;;;;
MVZ220004019;МГор4(1);Гор.Обл.Займ Москвы 4 в.;;;МФ73-3-00422;А1;RUB;93002;;EQOB;Т0 Облигации - безадрес.;15.07.1998;;0;;;;;14.01.1998;;;;;;;;;;;;;;;100,0;;;;;;;
MVZ220006014;МГор6(1);Гор.Обл.Займ Москвы 6 в.;;;МФ73-3-00490;А1;RUB;67857;;EQOB;Т0 Облигации - безадрес.;12.11.1998;;0;;;;;13.05.1998;;;;;;;;;;;;;;;100,0;;;;;;;
MVZ230002011;МГор2(1);Гор.Обл.Займ Москвы 2 в. 1 с.;;;МФ73-3-00167;А1;RUB;15732;;EQOB;Т0 Облигации - безадрес.;01.04.1998;;0;;;;;02.04.1997;;;;;;;;;;;;;;;100,0;;;;;;;
MVZ230002029;МГор2(2);Гор.Обл.Займ Москвы 2 в. 2 с.;;;МФ73-3-00167;А1;RUB;19166;;EQOB;Т0 Облигации - безадрес.;08.04.1998;;0;;;;;09.04.1997;;;;;;;;;;;;;;;100,0;;;;;;;
